Aonyx,cinereus
Arctictis,binturong
Arctogalidia,trivirgata
Arctonyx,collaris
Atherurus,macrourus
Callosciurus,erythraeus
Callosciurus,finlaysonii
Callosciurus,inornatus
Capricornis,milneedwardsii
Catopuma,temminckii
Rusa,unicolor
Chrotogale,owstoni
Cynogale,bennettii
Dendrogale,murina
Galeopterus,variegatus
Herpestes,javanicus
Herpestes,urva
Hylopetes,alboniger
Hylopetes,spadiceus
Hystrix,brachyurus
Lepus,peguensis
Lutra,lutra
Lutra,sumatrana
Lutrogale,perspicillata
Macaca,arctoides
Macaca,assamensis
Macaca,fascicularis
Macaca,mulatta
Macaca,nemestrina
Manis,javanica
Manis,pentadactyla
Martes,flavigula
Melogale,moschata
Melogale,personata
Muntiacus,rooseveltorum
Muntiacus,truongonensis
Muntiacus,vaginalis
Muntiacus,vuquangensis
Mustela,kathiah
Mustela,strigidorsa
Nesolagus,timminsi
Niviventer,tenaster
Nomascus,annamensis
Nycticebus,bengalensis
Paguma,larvata
Paradoxurus,hermaphroditus
Pardofelis,marmorata
Neofelis,nebulosa
Petaurista,philippensis
Prionodon,pardicolor
Prionailurus,bengalensis
Pseudoryx,nghetinhensis
Pygathrix,nemaeus
Ratufa,bicolor
Rhizomys,pruinosus
Rhizomys,sumatrensis
Sus,bucculentus
Sus,scrofa
Tamiops,rodolphii
Trachypithecus,laotum
Trachypithecus,phayrei
Tragulus,kanchil
Tragulus,versicolor
Tupaia,belangeri
Helarctos,malayanus
Ursus,thibetanus
Viverra,megaspila
Viverra,zibetha
Viverricula,indica
Homo,sapiens
