taxid	lineage	name	rank	20180624110755_31.48.252.71.fa
0	null	root	root	1718
1	root;root;Eukaryota;superkingdom;	Eukaryota	superkingdom	1718
8	root;root;Eukaryota;superkingdom;Chordata;phylum;	Chordata	phylum	1611
82	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;	Mammalia	class	1210
4706	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Suidae;family;	Suidae	family	68
42162	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Suidae;family;Sus;genus;	Sus	genus	65
248652	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Suidae;family;Sus;genus;Sus scrofa;species;	Sus scrofa	species	4
-42163	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Suidae;family;Sus;genus;unclassified_Sus;;	unclassified_Sus		61
503	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;	Rodentia	order	169
4578	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Spalacidae;family;	Spalacidae	family	31
38905	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Spalacidae;family;Rhizomys;genus;	Rhizomys	genus	31
233098	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Spalacidae;family;Rhizomys;genus;Rhizomys pruinosus;species;	Rhizomys pruinosus	species	30
-38906	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Spalacidae;family;Rhizomys;genus;unclassified_Rhizomys;;	unclassified_Rhizomys		1
4447	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;	Sciuridae	family	31
17136	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Dremomys;genus;	Dremomys	genus	11
113972	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Dremomys;genus;Dremomys rufigenis;species;	Dremomys rufigenis	species	11
11375	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Callosciurus;genus;	Callosciurus	genus	8
79606	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Callosciurus;genus;Callosciurus erythraeus;species;	Callosciurus erythraeus	species	8
27829	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Menetes;genus;	Menetes	genus	1
178611	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Menetes;genus;Menetes berdmorei;species;	Menetes berdmorei	species	1
34438	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Petaurista;genus;	Petaurista	genus	1
209566	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Petaurista;genus;Petaurista hainana;species;	Petaurista hainana	species	1
38544	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Ratufa;genus;	Ratufa	genus	1
231157	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Ratufa;genus;Ratufa bicolor;species;	Ratufa bicolor	species	1
42643	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Tamias;genus;	Tamias	genus	1
251278	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;Tamias;genus;Tamias sonomae;species;	Tamias sonomae	species	1
3295	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;	Muridae	family	47
25240	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Leopoldamys;genus;	Leopoldamys	genus	26
158152	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Leopoldamys;genus;Leopoldamys edwardsi;species;	Leopoldamys edwardsi	species	26
29213	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Mus;genus;	Mus	genus	1
184755	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Mus;genus;Mus musculus;species;	Mus musculus	species	1
38543	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Rattus;genus;	Rattus	genus	2
231100	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Rattus;genus;Rattus rattus;species;	Rattus rattus	species	1
-38544	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Rattus;genus;unclassified_Rattus;;	unclassified_Rattus		1
30701	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Niviventer;genus;	Niviventer	genus	1
-30702	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;Niviventer;genus;unclassified_Niviventer;;	unclassified_Niviventer		1
-3296	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Muridae;family;unclassified_Muridae;;	unclassified_Muridae		17
-4448	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Sciuridae;family;unclassified_Sciuridae;;	unclassified_Sciuridae		8
2687	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Hystricidae;family;	Hystricidae	family	7
23490	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Hystricidae;family;Hystrix;genus;	Hystrix	genus	5
149775	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Hystricidae;family;Hystrix;genus;Hystrix indica;species;	Hystrix indica	species	5
-2688	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;Hystricidae;family;unclassified_Hystricidae;;	unclassified_Hystricidae		2
-504	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Rodentia;order;unclassified_Rodentia;;	unclassified_Rodentia		53
-4707	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Suidae;family;unclassified_Suidae;;	unclassified_Suidae		3
1413	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;	Cervidae	family	89
29185	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;Muntiacus;genus;	Muntiacus	genus	58
184608	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;Muntiacus;genus;Muntiacus vuquangensis;species;	Muntiacus vuquangensis	species	6
-29186	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;Muntiacus;genus;unclassified_Muntiacus;;	unclassified_Muntiacus		52
39352	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;Rusa;genus;	Rusa	genus	8
234574	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;Rusa;genus;Rusa unicolor;species;	Rusa unicolor	species	8
31269	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;Odocoileus;genus;	Odocoileus	genus	2
-31270	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;Odocoileus;genus;unclassified_Odocoileus;;	unclassified_Odocoileus		2
508	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Scandentia;order;	Scandentia	order	18
5006	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Scandentia;order;Tupaiidae;family;	Tupaiidae	family	18
44741	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Scandentia;order;Tupaiidae;family;Tupaia;genus;	Tupaia	genus	18
261289	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Scandentia;order;Tupaiidae;family;Tupaia;genus;Tupaia belangeri;species;	Tupaia belangeri	species	16
-44742	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Scandentia;order;Tupaiidae;family;Tupaia;genus;unclassified_Tupaia;;	unclassified_Tupaia		2
1173	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;	Bovidae	family	39
11702	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Capricornis;genus;	Capricornis	genus	7
-11703	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Capricornis;genus;unclassified_Capricornis;;	unclassified_Capricornis		7
10471	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Bos;genus;	Bos	genus	3
74861	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Bos;genus;Bos taurus;species;	Bos taurus	species	1
74850	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Bos;genus;Bos frontalis;species;	Bos frontalis	species	1
32370	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Ovis;genus;	Ovis	genus	1
201084	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Ovis;genus;Ovis aries;species;	Ovis aries	species	1
10892	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Bubalus;genus;	Bubalus	genus	1
77272	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Bubalus;genus;Bubalus bubalis;species;	Bubalus bubalis	species	1
-10472	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;Bos;genus;unclassified_Bos;;	unclassified_Bos		1
182	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;	Carnivora	order	197
3302	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;	Mustelidae	family	79
27785	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Melogale;genus;	Melogale	genus	46
178396	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Melogale;genus;Melogale moschata;species;	Melogale moschata	species	46
29242	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Mustela;genus;	Mustela	genus	5
184932	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Mustela;genus;Mustela kathiah;species;	Mustela kathiah	species	1
-29243	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Mustela;genus;unclassified_Mustela;;	unclassified_Mustela		4
8335	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Arctonyx;genus;	Arctonyx	genus	8
64069	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Arctonyx;genus;Arctonyx collaris;species;	Arctonyx collaris	species	8
27227	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Martes;genus;	Martes	genus	2
175717	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;Martes;genus;Martes flavigula;species;	Martes flavigula	species	2
5100	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Viverridae;family;	Viverridae	family	28
32665	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Viverridae;family;Paguma;genus;	Paguma	genus	25
202291	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Viverridae;family;Paguma;genus;Paguma larvata;species;	Paguma larvata	species	25
36598	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Viverridae;family;Prionodon;genus;	Prionodon	genus	1
