KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Artiodactyla.Bovidae.Capricornis.milneedwardsii	Artiodactyla.Bovidae.Pseudoryx.UNK	Artiodactyla.Cervidae.Muntiacus.muntjak_vaginalis	Artiodactyla.Cervidae.Muntiacus.truongsonensis	Artiodactyla.Cervidae.Muntiacus.UNK	Artiodactyla.Cervidae.Muntiacus.vuquangensis	Artiodactyla.Cervidae.Rusa.unicolor	Artiodactyla.Suidae.Sus.scrofa	Artiodactyla.Tragulidae.Tragulus.kanchil	Artiodactyla.Tragulidae.Tragulus.UNK
SWG1	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29 09	NA	NA	59	NA	    0	    0	    0	    0	    3	    0	    0	77194	    0	    0
SWG10	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29-30  09	NA	NA	13	NA	     0	     0	     0	     0	     0	     0	     0	202944	     0	     0
SWG11	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	126	NA	     0	     0	     0	     0	     0	     0	     0	193613	     0	     0
SWG12	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	96	NA	     0	     0	   150	     9	     0	     0	     0	110668	     0	     0
SWG13	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	80	NA	    0	    0	    0	    0	    0	    0	    0	68750	    0	    0
SWG14	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	66	NA	     0	     0	     8	     0	     0	     0	     0	173095	     0	     0
SWG15	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	30 9	NA	NA	30	NA	     0	     0	     0	     0	     0	     0	     0	131746	     0	     0
SWG16	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	30  9	NA	NA	27	NA	     0	     0	     0	     0	     0	     0	     0	138919	     0	     0
SWG17	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1-3 10	NA	NA	90	NA	     0	     0	     0	     0	     0	     0	     0	125680	     0	     0
SWG18	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	78	NA	   11	    0	15625	   68	  123	    0	    0	61439	    0	    0
SWG19	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 10	NA	NA	9	NA	   0	   0	   0	   0	   0	   0	   0	2001	   0	   0
SWG2	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29 09	NA	NA	46	NA	     0	     0	     0	     0	     0	     0	     0	230855	     0	     0
SWG20	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 10	NA	NA	NA	NA	    0	    0	    0	    0	    0	    0	    0	87684	    0	    0
SWG21	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	158	NA	     0	     0	     7	     0	     0	     0	     0	125161	     0	     0
SWG22	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	152	NA	     0	     0	     6	     0	     0	     0	     0	123232	     0	     0
SWG23	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	6 10	NA	NA	28	NA	  0	  0	  0	 16	  0	  0	  0	130	  0	  0
SWG24	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	4-6 10	NA	NA	83	NA	  700	    0	    0	    0	    0	    0	    0	39424	    0	    0
