KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Artiodactyla.Bovidae.Bos.taurus	Artiodactyla.Bovidae.Capricornis.milneedwardsii	Artiodactyla.Cervidae.Muntiacus.muntjak_vaginalis	Artiodactyla.Cervidae.Muntiacus.truongsonensis	Artiodactyla.Cervidae.Muntiacus.UNK	Artiodactyla.Cervidae.Muntiacus.vuquangensis	Artiodactyla.Cervidae.Rusa.unicolor	Artiodactyla.Suidae.Sus.scrofa	Artiodactyla.Tragulidae.Tragulus.kanchil	Artiodactyla.Tragulidae.Tragulus.UNK	Carnivora.Canidae.Canis.lupus_familiaris	Carnivora.Felidae.Catopuma.UNK	Carnivora.Felidae.Neofelis.UNK	Carnivora.Felidae.Prionailurus.bengalensis	Carnivora.Felidae.UNK	Carnivora.Herpestidae.Herpestes.UNK	Carnivora.Mustelidae.Aonyx.cinereus	Carnivora.Mustelidae.Arctonyx.collaris	Carnivora.Mustelidae.Lutra.lutra	Carnivora.Mustelidae.Martes.flavigula	Carnivora.Mustelidae.Melogale.moschata	Carnivora.Mustelidae.Mustela.kathiah	Carnivora.Mustelidae.Mustela.UNK	Carnivora.Ursidae.Ursus.thibetanus	Carnivora.Viverridae.Arctictis.UNK	Carnivora.Viverridae.Paguma.larvata	Carnivora.Viverridae.Viverra.UNK1	Carnivora.Viverridae.Viverra.UNK2	Carnivora.Viverridae.Viverra.UNK3	Carnivora.Viverridae.Viverra.UNK4	Chiroptera.Vespertilionidae.Tylonycteris.UNK	Erinaceomorpha.Erinaceidae.Hylomys.suillus	Lagomorpha.Leporidae.Nesolagus.timminsi	Primates.Cercopithecidae.Macaca.arctoides	Primates.Cercopithecidae.Macaca.assamensis	Primates.Cercopithecidae.Macaca.fascicularis	Primates.Cercopithecidae.Macaca.mulatta	Primates.Cercopithecidae.Macaca.UNK	Primates.Hominidae.Homo.sapiens	Primates.Hylobatidae.Nomascus.siki	Rodentia.Hystricidae.Hystrix.UNK	Rodentia.Muridae.Mus.musculus	Rodentia.Muridae.Niviventer.UNK	Rodentia.Sciuridae.Callosciurus.erythraeus	Rodentia.Sciuridae.Callosciurus.UNK1	Rodentia.Sciuridae.Callosciurus.UNK2	Rodentia.Sciuridae.Hylopetes.UNK1	Rodentia.Sciuridae.Hylopetes.UNK2	Rodentia.Sciuridae.Petaurista.philippensis	Rodentia.Sciuridae.Ratufa.bicolor	Rodentia.Sciuridae.Tamiops.UNK	Rodentia.Spalacidae.Rhizomys.pruinosus	Scandentia.Tupaiidae.Tupaia.belangeri	Soricomorpha.Talpidae.Euroscaptor.UNK	reservecode3
SWG1	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29 09	NA	NA	59	NA	    0	    0	    0	    0	    3	    0	    0	77194	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	 3807	    0	    0	    0	    0	  191	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    7	    0	    8	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	PST
SWG10	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29-30  09	NA	NA	13	NA	     0	     0	     0	     0	     0	     0	     0	202944	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     5	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    36	     0	     0	     0	PST
SWG11	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	126	NA	     0	     0	     0	     0	     0	     0	     0	193613	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	 11965	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	  2349	     0	     0	     0	     0	     0	     0	     0	   883	     0	     0	     0	PST
SWG12	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	96	NA	     0	     0	   150	     9	     0	     0	     0	110668	     0	     0	     0	     0	     0	     0	     0	     0	     0	 57310	     0	     0	   308	     0	 16392	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    11	     0	     0	     0	     0	     0	     0	     0	   159	  1623	   197	     0	PST
SWG13	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	80	NA	    0	    0	    0	    0	    0	    0	    0	68750	    0	    0	    0	    0	    0	    0	    0	    0	    0	    6	    0	    0	    5	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   90	    0	    0	    0	    3	    4	    0	    0	    0	  775	    0	    0	    0	    0	    0	    0	    0	   38	    0	    0	    0	PST
SWG14	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	66	NA	     0	     0	     8	     0	     0	     0	     0	173095	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	  1090	     0	     0	     0	     0	   118	     0	     0	     0	     0	     0	     0	    29	     0	     0	     0	     0	     0	   381	     0	     0	     0	  1602	     0	     0	     0	     0	     0	     0	     0	   107	     0	     0	     0	PST
SWG15	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	30 9	NA	NA	30	NA	     0	     0	     0	     0	     0	     0	     0	131746	     0	     0	     0	     0	     0	     0	     0	     0	     0	    21	     0	     0	     0	     0	     3	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   258	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG16	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	30  9	NA	NA	27	NA	     0	     0	     0	     0	     0	     0	     0	138919	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    34	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG17	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1-3 10	NA	NA	90	NA	     0	     0	     0	     0	     0	     0	     0	125680	     0	     0	     0	     0	     0	     0	     0	   107	     0	  1124	     0	     0	     0	     0	     0	     0	     0	   704	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   601	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    21	     0	     0	     0	PST
SWG18	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	78	NA	    0	   11	15625	   68	  123	    0	    0	61439	    0	    0	    0	    0	    0	    0	    3	12435	    0	    0	    0	    0	 1214	    0	    0	    0	    0	  965	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   24	    0	    0	    0	36473	   52	   29	    0	    0	    0	    0	    0	   23	    0	    0	    0	PST
