KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	reservecode3	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Primates.Cercopithecidae.Macaca.arctoides	Primates.Cercopithecidae.Macaca.assamensis	Primates.Cercopithecidae.Macaca.fascicularis	Primates.Cercopithecidae.Macaca.mulatta	Primates.Cercopithecidae.Macaca.UNK	Primates.Hominidae.Homo.sapiens	Primates.Hylobatidae.Nomascus.siki
SWG1	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	59	NA	0	0	0	0	0	7	0
SWG10	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29-30  09	NA	NA	13	NA	0	0	0	0	0	0	0
SWG11	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	126	NA	0	0	0	0	0	0	0
SWG12	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	96	NA	0	0	0	0	0	0	0
SWG13	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	80	NA	90	 0	 0	 0	 3	 4	 0
SWG14	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	66	NA	  0	  0	  0	  0	  0	381	  0
SWG15	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 9	NA	NA	30	NA	  0	  0	  0	  0	  0	258	  0
SWG16	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30  9	NA	NA	27	NA	0	0	0	0	0	0	0
SWG17	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1-3 10	NA	NA	90	NA	  0	  0	  0	  0	  0	601	  0
SWG18	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	78	NA	 0	 0	 0	 0	 0	24	 0
SWG19	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	9	NA	 0	 0	 0	 0	 0	26	 0
SWG2	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	46	NA	 179	   0	   0	   0	  11	1767	1031
SWG20	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	NA	NA	0	0	0	0	0	0	0
SWG21	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	158	NA	0	0	0	0	0	3	0
SWG22	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	152	NA	 5	 0	 0	 0	 0	12	 0
SWG23	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6 10	NA	NA	28	NA	0	0	0	0	0	0	0
