Country	Laos	Laos	Laos	Vietnam	Vietnam	Vietnam
reservecode	LL	PST	XS	BM	HSL	QNSL
reservecode3	LL	PST	BMHQNXS	BMHQNXS	BMHQNXS	BMHQNXS
samples	28	63	74	24	160	189
Artiodactyla.Bovidae.Bos.taurus	0	4	1	3	6	9
Artiodactyla.Bovidae.Capricornis.milneedwardsii	15	14	46	11	117	122
Artiodactyla.Cervidae.Muntiacus.muntjak_vaginalis	22	20	4	1	62	87
Artiodactyla.Cervidae.Muntiacus.truongsonensis	20	15	13	10	57	118
Artiodactyla.Cervidae.Muntiacus.UNK	20	13	18	6	72	85
Artiodactyla.Cervidae.Muntiacus.vuquangensis	23	1	0	2	6	2
Artiodactyla.Cervidae.Rusa.unicolor	25	0	2	2	39	4
Artiodactyla.Suidae.Sus.scrofa	28	59	51	21	154	179
Artiodactyla.Tragulidae.Tragulus.kanchil	1	0	0	0	0	0
Artiodactyla.Tragulidae.Tragulus.UNK	0	0	0	1	3	0
Carnivora.Canidae.Canis.lupus_familiaris	2	2	7	7	19	34
Carnivora.Felidae.Catopuma.UNK	1	0	0	0	0	0
Carnivora.Felidae.Neofelis.UNK	2	5	1	2	9	35
Carnivora.Felidae.Prionailurus.bengalensis	1	0	0	1	5	17
Carnivora.Felidae.UNK	0	14	27	7	49	90
Carnivora.Herpestidae.Herpestes.UNK	6	16	15	8	67	77
Carnivora.Mustelidae.Aonyx.cinereus	0	0	3	0	0	0
Carnivora.Mustelidae.Arctonyx.collaris	2	20	2	0	0	0
Carnivora.Mustelidae.Lutra.lutra	0	4	1	1	2	20
Carnivora.Mustelidae.Martes.flavigula	2	4	3	1	1	4
Carnivora.Mustelidae.Melogale.moschata	8	38	42	13	105	161
Carnivora.Mustelidae.Mustela.kathiah	0	3	0	1	0	5
Carnivora.Mustelidae.Mustela.UNK	3	10	1	0	3	2
Carnivora.Ursidae.Ursus.thibetanus	0	0	0	0	9	2
Carnivora.Viverridae.Arctictis.UNK	0	2	0	0	3	6
Carnivora.Viverridae.Paguma.larvata	9	26	15	4	48	81
Carnivora.Viverridae.Viverra.UNK1	6	2	0	0	0	0
Carnivora.Viverridae.Viverra.UNK2	0	0	0	0	0	4
Carnivora.Viverridae.Viverra.UNK3	0	0	0	0	1	0
Carnivora.Viverridae.Viverra.UNK4	0	0	1	2	1	2
Chiroptera.Vespertilionidae.Tylonycteris.UNK	0	0	0	0	0	1
Erinaceomorpha.Erinaceidae.Hylomys.suillus	0	3	0	0	0	0
Lagomorpha.Leporidae.Nesolagus.timminsi	5	4	43	17	51	152
Primates.Cercopithecidae.Macaca.arctoides	5	12	5	11	56	44
Primates.Cercopithecidae.Macaca.assamensis	2	8	2	6	17	27
Primates.Cercopithecidae.Macaca.fascicularis	0	0	0	0	0	0
Primates.Cercopithecidae.Macaca.mulatta	0	4	0	0	6	0
Primates.Cercopithecidae.Macaca.UNK	4	7	4	8	33	34
Primates.Hominidae.Homo.sapiens	11	44	23	13	74	45
Primates.Hylobatidae.Nomascus.siki	0	1	0	0	0	0
Rodentia.Hystricidae.Hystrix.UNK	2	5	18	11	76	58
Rodentia.Muridae.Mus.musculus	0	0	0	0	1	0
Rodentia.Muridae.Niviventer.UNK	2	37	44	17	52	112
Rodentia.Sciuridae.Callosciurus.erythraeus	0	7	10	3	12	41
Rodentia.Sciuridae.Callosciurus.UNK1	0	6	0	1	0	0
Rodentia.Sciuridae.Callosciurus.UNK2	0	0	0	0	0	3
Rodentia.Sciuridae.Hylopetes.UNK1	0	0	1	0	0	1
Rodentia.Sciuridae.Hylopetes.UNK2	0	0	0	0	0	0
Rodentia.Sciuridae.Petaurista.philippensis	0	2	0	0	0	0
Rodentia.Sciuridae.Ratufa.bicolor	0	0	1	1	0	0
Rodentia.Sciuridae.Tamiops.UNK	1	37	3	2	7	32
Rodentia.Spalacidae.Rhizomys.pruinosus	3	9	18	4	30	109
Scandentia.Tupaiidae.Tupaia.belangeri	0	13	15	4	14	66
Soricomorpha.Talpidae.Euroscaptor.UNK	0	1	0	0	0	0
